category,rating,reviews,size,price,content_rating,last_updated_on,release_version,os_version_required,downloads
Productivity,4.51,1851,4.4M,Free,Everyone,Oct 22 2017,1.3.0,4.0.3 and up,"500,000+"
Entertainment,4.2,702975,49M,Free,Everyone,Aug 09 2019,2.6.6.11,4.1 and up,"50,000,000+"
Family,2.6,17,4.6M,Free,Everyone,Jun 09 2019,1.0,2.3 and up,"5,000+"
Game Card,4.75,129593,21M,Free,Everyone,May 06 2020,2.85.0,4.1 and up,"5,000,000+"
News And Magazines,4.2,40167,8.7M,Free,Everyone,Sep 03 2019,3.12.0,4.4 and up,"1,000,000+"
Tools,4.52,2180529,Varies with device,Free,Everyone,Feb 21 2020,Varies with device,Varies with device,"50,000,000+"
Education,4.27,3536,7.4M,Free,Everyone,Nov 07 2018,1.3.1,4.4 and up,"100,000+"
Family,4.2,13,23M,185.70420000000001,Everyone,Jan 29 2019,2.6,4.0.3 and up,"1,000+"
Game Action,4.31,24029,59M,Free,Teen,Feb 14 2020,1.0.11,4.4 and up,"1,000,000+"
Game Board,4.54,68315,23M,Free,Teen,May 06 2020,1.4.2,4.1 and up,"1,000,000+"
Game Word,4.75,790,54M,Free,Everyone 10+,Dec 13 2019,1.1.3,4.1 and up,"50,000+"
Sports,5.0,1,4.4M,Free,Everyone,Nov 18 2019,1,4.0 and up,100+
Photography,4.7,121248,28M,Free,Everyone,Nov 26 2019,2.2,4.2 and up,"5,000,000+"
Education,4.38,3190,7.2M,Free,Everyone,Apr 29 2020,7.2.4,4.0 and up,"100,000+"
Education,3.99,149,5.1M,Free,Everyone,Nov 12 2019,9.1,4.0.3 and up,"1,000+"
Art And Design,4.3,967,2.8M,Free,Everyone,Jul 25 2019,1.1,4.4 and up,"100,000+"
Tools,4.46,38469,Varies with device,Free,Everyone,May 06 2020,Varies with device,Varies with device,"500,000,000+"
Health And Fitness,4.42,4668,24M,Free,Everyone,Apr 26 2020,6.5,4.4w and up,"100,000+"
Business,4.47,19,11M,Free,Everyone,Oct 15 2019,1.31.0,4.1 and up,"5,000+"
Parenting,4.78,2633,37M,Free,Everyone,Jan 31 2020,1.05,4.2 and up,"100,000+"
Game Role Playing,4.33,524768,90M,Free,Teen,Apr 29 2020,2.5.58,2.3 and up,"10,000,000+"
Entertainment,5.0,4,11M,Free,Everyone,Jan 26 2020,2,4.0.3 and up,500+
Finance,4.3,26824,Varies with device,Free,Everyone,Feb 12 2020,1.3.3,Varies with device,"5,000,000+"
Music And Audio,3.61,165,4.5M,Free,Everyone,May 29 2019,2.1,4.0.3 and up,"100,000+"
Education,3.01,147,1.3M,Free,Everyone,Oct 17 2015,1,2.3 and up,"5,000+"
Books And Reference,4.64,56,4.1M,Free,Everyone,Oct 25 2019,7.2.4,4.1 and up,"10,000+"
Tools,4.52,6639,2.4M,Free,Everyone,Oct 31 2019,2.07,4.0 and up,"1,000,000+"
Photography,4.37,1771,17M,Free,Everyone,Apr 26 2020,1.2.4,4.1 and up,"100,000+"
Finance,4.52,64,30M,Free,Everyone,Sep 15 2018,1.0.0.0,4.1 and up,"10,000+"
Tools,3.9,7,3.2M,Free,Everyone,Jul 11 2019,1.2.1,5.0 and up,100+
Game Role Playing,4.3,124,67M,Free,Everyone,May 06 2020,1.1.213,4.4 and up,"10,000+"
Tools,4.2,994,2.8M,Free,Everyone,Jun 22 2019,6.0.0,5.0 and up,"100,000+"
Tools,4.2,428581,4.7M,Free,Everyone,Aug 21 2019,1.33,4.0 and up,"10,000,000+"
Education,4.46,229,28M,Free,Everyone,Aug 28 2019,1,4.0.3 and up,"10,000+"
Game Sports,4.45,55959,93M,Free,Everyone,Apr 08 2020,2.11.8,4.1 and up,"1,000,000+"
Game Music,4.81,359157,64M,Free,Everyone,May 01 2020,1.4.2,4.1 and up,"5,000,000+"
Game,4.5,1736105,14M,Free,Mature 17+,Jun 20 2015,3.0.4,2.1 and up,"10,000,000+"
Personalization,4.8,3283,3.6M,Free,Everyone,Nov 21 2015,4.1,4.0.3 and up,"100,000+"
Entertainment,3.93,60776,19M,Free,Everyone,Mar 17 2019,5.1,4.2 and up,"1,000,000+"
Food And Drink,4.39,1620,28M,Free,Everyone,Mar 27 2020,2.6.2,4.1 and up,"100,000+"
Medical,4.2,178,4.8M,73.8342,Everyone,Aug 26 2019,4.1.5 (steglitz),4.1 and up,"1,000+"
Communication,4.4,36981,4.0M,Free,Everyone,Aug 10 2019,5.2,5.0 and up,"1,000,000+"
Health And Fitness,4.38,75978,37M,Free,Everyone,May 01 2020,Varies with device,Varies with device,"10,000,000+"
Game Simulation,4.59,3461,28M,297.5742,Everyone,Sep 10 2019,1.68,4.1 and up,"10,000+"
Lifestyle,3.87,167,48M,Free,Everyone,Nov 15 2019,4.0.3,4.1 and up,"10,000+"
Game Casual,4.35,21203,28M,Free,Everyone,Jul 16 2019,4.0.0,4.0 and up,"10,000,000+"
Books And Reference,5.0,4,3.9M,Free,Everyone,Apr 19 2019,1.0.0,4.1 and up,"1,000+"
Books And Reference,4.6,124970,Varies with device,Free,Teen,Jun 30 2019,Varies with device,Varies with device,"5,000,000+"
Family,4.3,11,20M,148.4142,Everyone 10+,Jun 07 2017,1.0.3289,4.1 and up,500+
Tools,3.51,295,14M,Free,Everyone,Dec 19 2018,1.0.009,3.0 and up,"10,000+"
Education,3.99,1098,19M,Free,Everyone,May 04 2020,1.4,4.0 and up,"100,000+"
Sports,4.2,798,4.7M,Free,Everyone 10+,Sep 05 2019,3.5,4.0 and up,"50,000+"
Game Adventure,4.3,42483,91M,Free,Everyone 10+,May 05 2020,1.19.1400,4.0.3 and up,"500,000+"
Communication,4.63,19,4.8M,Free,Everyone,Feb 02 2020,1.1,4.0.3 and up,"1,000+"
Education,5.0,1,4.0M,Free,Everyone,Mar 21 2020,1.37,4.0 and up,100+
Tools,4.08,588,976k,Free,Everyone,Apr 29 2016,3,2.3.3 and up,"100,000+"
Music And Audio,4.85,15065,81M,Free,Everyone,Apr 14 2018,2,2.3.3 and up,"1,000,000+"
Tools,4.62,10233,6.4M,Free,Everyone,Apr 16 2020,3.5.1,5.0 and up,"1,000,000+"
Books And Reference,4.54,1754,4.9M,Free,Everyone,Mar 27 2020,1,2.3.3 and up,"500,000+"
Entertainment,4.63,430,13M,Free,Everyone,Apr 22 2020,32,Varies with device,"50,000+"
Game Board,4.46,8392,7.1M,Free,Everyone,Apr 30 2020,5.2.4,4.1 and up,"500,000+"
Finance,4.39,9601,6.5M,Free,Everyone,Mar 05 2020,10.0.953,4.4 and up,"500,000+"
Books And Reference,4.62,55899,12M,Free,Everyone,Apr 18 2020,7.1,4.1 and up,"1,000,000+"
Auto And Vehicles,3.96,80,34M,Free,Everyone,Jan 30 2020,1,4.1 and up,"10,000+"
Food And Drink,4.7,2707,8.9M,Free,Everyone,Jun 19 2019,2.12,4.0.3 and up,"100,000+"
Game,4.5,16162,99M,222.9942,Teen,May 11 2018,1.2,2.3 and up,"100,000+"
Photography,3.8,6,3.5M,Free,Everyone,Mar 27 2019,1.6,4.0.3 and up,"1,000+"
Game Adventure,5.0,3,40M,222.9942,Everyone 10+,Apr 07 2020,1.2,4.1 and up,10+
News And Magazines,2.62,58,12M,Free,Everyone,Apr 25 2020,5.1,4.3 and up,"10,000+"
Food And Drink,3.53,211,40M,Free,Everyone,May 05 2020,3.0.103,4.4 and up,"100,000+"
Business,4.5,80,16M,Free,Everyone,Jan 27 2018,2.54.3,2.2 and up,"10,000+"
Game Puzzle,4.37,43,42M,Free,Everyone,May 07 2020,1.0.1,4.0.3 and up,"5,000+"
Travel And Local,3.34,325,5.7M,Free,Everyone,Nov 18 2019,1.42,4.1 and up,"50,000+"
Lifestyle,4.22,27,1.6M,Free,Everyone,Feb 03 2019,1,5.0 and up,500+
Family,4.4,2558,61M,Free,Everyone,Feb 20 2019,2.0.11,4.4 and up,"100,000+"
House And Home,4.72,95,41M,Free,Everyone,Nov 26 2019,1.1.5,4.0 and up,"10,000+"
Tools,4.37,395,13M,2087.4941999999996,Everyone,May 01 2020,A264,4.3 and up,"10,000+"
Finance,4.94,71,3.5M,Free,Everyone,Mar 26 2020,1.9.5,4.4 and up,"1,000+"
Tools,4.58,938901,53M,Free,Everyone,Apr 23 2020,7.1.7,4.1 and up,"10,000,000+"
Video Players,4.64,22158,7.2M,Free,Everyone,Dec 17 2019,1.7.1,4.0 and up,"100,000+"
Food And Drink,4.43,49,97M,Free,Everyone,Apr 18 2020,2.7.0,4.4 and up,"10,000+"
Books And Reference,4.63,82770,29M,Free,Everyone,Mar 13 2020,Neutron,4.0 and up,"5,000,000+"
Family,4.1,66660,22M,Free,Everyone,Mar 09 2019,5.2,4.1 and up,"5,000,000+"
Tools,4.53,10098,5.7M,Free,Everyone,Apr 20 2020,2.8.0,4.1 and up,"1,000,000+"
Education,4.46,128,6.4M,111.1242,Everyone,Mar 20 2020,1.3,4.0.3 and up,"1,000+"
Lifestyle,4.32,22,4.8M,Free,Everyone,Jul 11 2018,1,2.3 and up,"5,000+"
Finance,4.44,296,2.8M,Free,Everyone,Jun 04 2019,1.1.2,4.0 and up,"100,000+"
Travel And Local,3.67,2769,56M,Free,Everyone,Apr 03 2020,1.59.1068,5.1 and up,"500,000+"
Game Simulation,4.32,210286,43M,Free,Teen,Aug 19 2019,1.19,4.0 and up,"10,000,000+"
Entertainment,4.3,6096,9.4M,Free,Everyone,Sep 25 2018,1.2,4.0 and up,"500,000+"
Lifestyle,3.5,4,6.3M,Free,Everyone,Apr 06 2020,1.0.14,4.4 and up,"1,000+"
Lifestyle,4.4,33,23M,Free,Everyone,Nov 16 2018,3.9.5,4.2 and up,"5,000+"
Social,4.4,2955326,Varies with device,Free,Mature 17+,Sep 05 2019,Varies with device,Varies with device,"100,000,000+"
Business,4.31,6178,Varies with device,Free,Everyone,Feb 15 2020,Varies with device,Varies with device,"500,000+"
Books And Reference,4.57,3656,Varies with device,Free,Everyone,Nov 07 2019,Varies with device,Varies with device,"500,000+"
Family,3.3,11,7.3M,Free,Teen,Sep 27 2018,3.4.0,4.1 and up,"1,000+"
Game Card,4.61,11188,52M,Free,Teen,May 06 2020,1.2.062,4.1 and up,"500,000+"
Entertainment,4.4,5456599,Varies with device,Free,Teen,Sep 04 2019,Varies with device,Varies with device,"100,000,000+"
Health And Fitness,4.5,827653,Varies with device,Free,Everyone,Aug 29 2019,Varies with device,Varies with device,"10,000,000+"
Health And Fitness,4.04,9148,7.1M,Free,Everyone,Jun 29 2019,1.0.7.9,4.3 and up,"1,000,000+"
Entertainment,4.14,1232,3.3M,Free,Everyone,Feb 26 2020,2.01,4.1 and up,"100,000+"
Game Racing,4.31,11245,51M,Free,Everyone,Jan 07 2017,0.9.9.9.53,3.0 and up,"1,000,000+"
Music And Audio,4.66,1587,1.4M,Free,Everyone,Apr 18 2020,3.6.1,4.0.3 and up,"100,000+"
Game Adventure,4.64,807,6.2M,521.3142,Teen,Jul 05 2019,1.0.36,4.0 and up,"10,000+"
Game Sports,4.48,22974,71M,Free,Everyone,May 06 2020,2.7.1,4.1 and up,"1,000,000+"
Communication,5.0,3,6.0M,Free,Teen,Apr 20 2019,2.1.2,4.0.3 and up,"1,000+"
Game Adventure,4.31,28692,18M,Free,Everyone,Apr 01 2020,1.0.3,4.1 and up,"10,000,000+"
Game Action,3.7,9353,14M,Free,Mature 17+,Apr 01 2020,1.2.0,6.0 and up,"1,000,000+"
Travel And Local,3.83,674,26M,Free,Everyone,Sep 11 2019,1.1.3,4.0.3 and up,"100,000+"
Education,4.59,91,3.8M,Free,Everyone,Mar 06 2020,2.1,4.0.3 and up,"10,000+"
Lifestyle,4.0,7808,5.0M,Free,Everyone,Dec 09 2016,1.2.1,2.2 and up,"1,000,000+"
Entertainment,4.5,8,2.7M,Free,Everyone,Feb 28 2018,1.1,4.0 and up,500+
Game Casual,4.47,71048,116M,Free,Everyone 10+,Apr 14 2020,8.3.0,4.0.3 and up,"1,000,000+"
Travel And Local,4.5,216388,19M,Free,Everyone,Sep 04 2019,Varies with device,Varies with device,"10,000,000+"
Finance,3.38,69,17M,Free,Everyone,Apr 17 2020,3.126.0,4.4 and up,"5,000+"
Finance,4.3,5928,22M,Free,Everyone,Aug 26 2019,5.1.1,5.0 and up,"500,000+"
Personalization,4.35,1249,87k,148.4142,Everyone,Jan 02 2015,2.2,2.1 and up,"10,000+"
Books And Reference,4.68,3129,8.8M,Free,Everyone,Oct 31 2016,2,2.3 and up,"100,000+"
Entertainment,4.32,1018,2.2M,Free,Everyone,Nov 29 2019,Ps-pk-oct2518,4.0 and up,"100,000+"
Entertainment,4.59,194,5.4M,Free,Everyone,Sep 25 2019,4.4.1,4.0.3 and up,"10,000+"
Events,4.86,2847,14M,Free,Everyone,Mar 14 2020,1.13.38,4.1 and up,"100,000+"
Tools,3.5,2,5.0M,Free,Everyone,Feb 24 2020,1,4.1 and up,100+
Health And Fitness,3.73,460,11M,Free,Everyone,Apr 10 2018,1.6.2,2.3.3 and up,"100,000+"
Family,4.1,59917,92M,Free,Everyone,Sep 04 2019,2.3,4.4 and up,"5,000,000+"
News And Magazines,4.6,66407,19M,Free,Teen,Aug 29 2019,4.1.0.72,4.0 and up,"1,000,000+"
Game Arcade,4.37,9042,Varies with device,Free,Everyone,Apr 09 2019,2.2,4.1 and up,"1,000,000+"
Art And Design,4.24,62,7.5M,Free,Everyone,Mar 20 2020,1.4,2.2 and up,"50,000+"
Family,4.4,17069,94M,Free,Everyone 10+,Sep 05 2019,1.0.17.2,5.0 and up,"500,000+"
Tools,3.74,23,12M,Free,Everyone,Mar 19 2020,4.6.0.4518,4.1 and up,"1,000+"
Medical,4.56,2036,4.0M,Free,Everyone,Jan 26 2020,3.0.4,4.4 and up,"100,000+"
Tools,4.22,18,2.5M,Free,Everyone,Oct 01 2019,1.1.8,4.0.3 and up,"1,000+"
Education,4.8,2154,19M,Free,Everyone,Feb 28 2020,1.9.5,5.0 and up,"50,000+"
News And Magazines,4.53,104425,Varies with device,Free,Mature 17+,Dec 04 2019,Varies with device,Varies with device,"1,000,000+"
Video Players,1.0,1,3.7M,Free,Everyone,Apr 16 2020,1,4.0.3 and up,10+
Social,4.8,3782,63M,Free,Teen,Aug 17 2019,1.8.19106,4.0.3 and up,"50,000+"
Productivity,2.6,685,7.4M,1490.8541999999998,Everyone,Jan 28 2020,3.1.2,4.0.3 and up,"5,000+"
Books And Reference,4.36,338,27M,Free,Everyone,May 26 2019,2,4.0 and up,"50,000+"
Music And Audio,3.61,126,78M,Free,Everyone,Nov 02 2019,3.1.3,4.4 and up,"10,000+"
Game Strategy,4.63,219358,27M,Free,Everyone,Apr 26 2020,1.64.20,4.1 and up,"1,000,000+"
Shopping,4.58,19,12M,Free,Everyone,Sep 12 2019,0.8.5,4.1 and up,"1,000+"
Education,4.31,26,7.1M,Free,Everyone,Apr 18 2020,12.0.3,4.1 and up,"10,000+"
Sports,4.44,2299,83M,Free,Everyone,Apr 21 2020,3.2.6,5.0 and up,"100,000+"
Tools,4.39,6426,5.2M,Free,Everyone,May 02 2020,2.8.9,4.4 and up,"500,000+"
Productivity,4.47,6799,Varies with device,Free,Everyone,Apr 12 2020,3.6.7,5.0 and up,"500,000+"
Game Educational,4.41,1882,38M,Free,Everyone,Apr 03 2020,2.2,4.1 and up,"1,000,000+"
Shopping,4.28,18040,82M,Free,Everyone,Feb 20 2020,4.4.1,5.0 and up,"500,000+"
Books And Reference,4.54,4335,29M,Free,Everyone,Oct 30 2019,2.12,4.4 and up,"100,000+"
Game Puzzle,4.61,10982,Varies with device,Free,Everyone,Apr 08 2020,Varies with device,Varies with device,"500,000+"
Entertainment,4.17,360,5.7M,Free,Everyone,Mar 04 2020,2.3,4.4 and up,"100,000+"
Game Casino,4.63,6064,40M,Free,Teen,May 01 2020,2,4.1 and up,"100,000+"
Game Racing,4.34,27635,99M,Free,Everyone,Oct 31 2019,1.9,4.1 and up,"5,000,000+"
Books And Reference,4.4,121,8.7M,Free,Everyone,Jan 27 2018,1.1.2,4.1 and up,"10,000+"
Shopping,4.05,3759,Varies with device,Free,Everyone,Oct 11 2018,Varies with device,Varies with device,"100,000+"
Auto And Vehicles,4.0,5,34M,Free,Everyone,Sep 03 2019,2.8,2.3.3 and up,"1,000+"
Books And Reference,4.52,176,3.3M,Free,Everyone,Apr 18 2019,1.5,4.1 and up,"100,000+"
Communication,4.6,2264916,6.1M,Free,Everyone,Sep 04 2019,5.22.18.0006,4.0 and up,"50,000,000+"
Family,4.6,22165,6.8M,Free,Everyone,Aug 02 2019,4.1806.3,4.0 and up,"1,000,000+"
Game Action,4.13,21051,34M,Free,Everyone 10+,May 12 2017,1.2.1,2.3 and up,"1,000,000+"
Health And Fitness,4.59,2481,5.6M,372.1542,Everyone,Mar 18 2020,3.0.12,5.1 and up,"10,000+"
Business,4.3,1118,3.6M,Free,Everyone,May 01 2020,2.5,5.0 and up,"100,000+"
Game Card,3.93,7859,3.5M,Free,Everyone,Aug 07 2019,1.55.0,4.0 and up,"1,000,000+"
Education,4.23,3824,13M,Free,Everyone,May 01 2020,5.2.6,4.0.3 and up,"100,000+"
Lifestyle,4.64,139,39M,Free,Everyone,Jan 25 2020,2.0.4,4.2 and up,"5,000+"
Game Music,4.02,133,5.4M,73.8342,Everyone,Sep 26 2016,2.22,2.3 and up,"1,000+"
Family,4.4,87045,99M,Free,Everyone,Jul 10 2019,2.0.1,4.0.3 and up,"10,000,000+"
Tools,4.54,341,3.1M,78.309,Everyone,Apr 12 2016,2.1.5,2.2 and up,"1,000+"
Business,3.1,71,1.9M,Free,Everyone,Jun 18 2014,1.0,1.6 and up,"10,000+"
Medical,4.6,66,2.6M,73.8342,Everyone,Jan 06 2015,4.1,3.2 and up,"5,000+"
Education,4.79,84,12M,Free,Everyone,Jan 08 2020,1.0.1,4.0 and up,"1,000+"
Game Action,4.73,8342,47M,Free,Everyone 10+,Apr 06 2019,1.3,4.1 and up,"500,000+"
Books And Reference,4.65,108,17M,148.4142,Everyone,Oct 28 2018,2.02,4.0.3 and up,"5,000+"
Maps And Navigation,4.3,32225,3.2M,Free,Everyone,Aug 30 2019,2.0.0,4.2 and up,"1,000,000+"
Productivity,3.76,252,19M,Free,Everyone,May 05 2020,1.7.60,4.4 and up,"50,000+"
Education,4.54,1215,Varies with device,Free,Everyone,Nov 07 2019,1.6,4.1 and up,"100,000+"
Game Educational,4.14,208,68M,222.9942,Everyone,Feb 14 2020,1.08,4.1 and up,"10,000+"
Entertainment,5.0,5,32M,Free,Everyone,Nov 17 2019,1.0.1,4.2 and up,500+
Video Players,3.39,673,33M,Free,Everyone,Feb 26 2020,1.4,4.3 and up,"100,000+"
Photography,5.0,3,3.4M,Free,Everyone,Nov 19 2019,3,4.1 and up,50+
Finance,3.8,1054,9.7M,Free,Everyone,Aug 14 2019,2.3.0,5.0 and up,"100,000+"
Entertainment,4.0,4,9.8M,Free,Everyone,Dec 19 2018,1,4.0.3 and up,500+
Business,4.38,9720,13M,Free,Everyone,Apr 05 2020,3.3.11,4.1 and up,"100,000+"
Game Adventure,4.37,84398,58M,Free,Everyone,Sep 28 2019,12,2.3 and up,"1,000,000+"
Lifestyle,3.56,48,1.8M,Free,Everyone,Mar 25 2020,1.0.4,4.4 and up,"10,000+"
Personalization,4.5,15633,14M,Free,Everyone,Apr 13 2018,1.1,4.0.3 and up,"1,000,000+"
Game,4.3,1000417,Varies with device,Free,Teen,Aug 09 2019,Varies with device,4.4 and up,"50,000,000+"
Education,4.7,75163,53M,Free,Everyone,Nov 08 2019,3.9.6,4.0.3 and up,"1,000,000+"
Photography,4.53,390880,3.0M,Free,Everyone,Feb 21 2020,2.5.2,5.0 and up,"10,000,000+"
Game Action,5.0,1,27M,Free,Everyone,Mar 18 2020,5,4.1 and up,500+
Music And Audio,4.12,24,50M,Free,Everyone,Feb 12 2020,1,4.1 and up,"10,000+"
Education,4.73,1104,13M,Free,Everyone,Jan 15 2020,1.3,4.0.3 and up,"100,000+"
Communication,4.36,306,37M,Free,Everyone,Mar 28 2020,3.2.7,5.0 and up,"10,000+"
Medical,4.15,27,15M,372.1542,Everyone,Apr 15 2018,4,4.4 and up,"1,000+"
Game Puzzle,4.89,6118,38M,Free,Everyone,Mar 27 2020,8.1.9,4.1 and up,"100,000+"
Lifestyle,4.24,1231,33M,Free,Everyone,Nov 24 2018,1,4.4 and up,"100,000+"
Weather,4.25,33527,21M,Free,Everyone,Jan 10 2020,6.4.2,4.4 and up,"1,000,000+"
Tools,4.34,2293,1.9M,Free,Everyone,Apr 25 2020,8.3,4.0 and up,"500,000+"
Shopping,4.29,51555,36M,Free,Everyone,Apr 30 2020,7.2.3,5.0 and up,"5,000,000+"
Shopping,4.09,339,19M,Free,Everyone,Apr 15 2020,1.8,4.1 and up,"10,000+"
Education,4.3,10,5.6M,Free,Everyone,Oct 22 2019,1,4.0.3 and up,500+
Game,4.8,230849,87M,Free,Everyone,Sep 06 2019,1.0.47,4.1 and up,"10,000,000+"
Game,4.6,44893888,98M,Free,Everyone 10+,Aug 19 2019,10.322.16,4.1 and up,"100,000,000+"
Music And Audio,4.51,171,13M,Free,Everyone,Apr 14 2019,1.1.1,4.1 and up,"10,000+"
Education,4.55,29,6.2M,Free,Everyone,Apr 17 2020,5.51.0_7745,4.0 and up,"1,000+"
Personalization,4.43,68,3.6M,Free,Everyone,Nov 23 2019,1,4.3 and up,"10,000+"
Tools,3.51,84,15M,Free,Everyone,May 28 2016,3.3.1,2.1 and up,"10,000+"
Weather,4.46,11614,7.4M,Free,Everyone,May 02 2020,2.3.11,4.2 and up,"1,000,000+"
Video Players,4.1,29867,1.7M,Free,Everyone,Jun 28 2018,3.1.0 (build 1210),2.3.3 and up,"5,000,000+"
Video Players,3.05,372,9.8M,Free,Everyone,Nov 14 2019,4,2.3.3 and up,"50,000+"
Game Strategy,4.44,143300,9.2M,Free,Teen,Dec 15 2016,1.78,4.0 and up,"1,000,000+"
Education,5.0,3,26M,Free,Everyone,May 01 2020,1.3.0,4.1 and up,100+
Tools,4.05,29841,Varies with device,Free,Everyone,May 04 2020,Varies with device,Varies with device,"5,000,000+"
Art And Design,4.8,1216,8.6M,148.4142,Everyone,Jul 31 2019,1.0.0,4.1 and up,"10,000+"
Game Role Playing,4.14,17598,14M,Free,Teen,Aug 15 2019,1.2,2.3 and up,"1,000,000+"
Education,4.29,7,25M,Free,Everyone,Mar 13 2020,7.9.0,4.4 and up,500+
Books And Reference,4.78,1306,48M,Free,Everyone,Dec 25 2019,4.2,4.1 and up,"100,000+"
News And Magazines,4.49,22941,13M,Free,Everyone,Oct 17 2019,3.6,4.1 and up,"500,000+"
Business,5.0,7,15M,Free,Everyone,Feb 09 2018,1.0.1,4.1 and up,"1,000+"
Lifestyle,4.81,329,32M,Free,Everyone,Jan 24 2020,3,4.1 and up,"100,000+"
Photography,4.24,13450,20M,Free,Everyone,Apr 29 2020,2.6.6,6.0 and up,"1,000,000+"
Shopping,4.09,6427,12M,Free,Everyone,Apr 24 2020,2.9.0,6.0 and up,"1,000,000+"
Communication,4.2,10965,2.3M,Free,Everyone,Mar 08 2016,2.0,3.0 and up,"500,000+"
Lifestyle,3.88,670,5.7M,Free,Everyone,Jan 10 2020,9,4.0 and up,"100,000+"
Entertainment,4.72,2079,50M,222.9942,Everyone,Apr 13 2020,2.6.0,4.1 and up,"10,000+"
Tools,4.04,398,14M,Free,Everyone,Dec 15 2018,1,4.0 and up,"50,000+"
Productivity,3.7,10490,5.8M,Free,Everyone,Aug 28 2019,3.1.7,4.1 and up,"1,000,000+"
Business,3.15,1168,17M,Free,Everyone,May 07 2020,2.0.4.25a,4.1 and up,"100,000+"
Music And Audio,4.28,1598,Varies with device,Free,Everyone,Apr 29 2020,Varies with device,Varies with device,"10,000+"
Family,4.1,62,6.5M,Free,Everyone,Dec 18 2016,1.4,2.2 and up,"10,000+"
Music And Audio,4.55,12066,3.3M,Free,Everyone,Mar 06 2020,1.2.3,4.0.3 and up,"1,000,000+"
Finance,3.58,59345,14M,Free,Everyone,Apr 08 2020,2.2.4,4.0.3 and up,"5,000,000+"
Personalization,4.2,249,91M,Free,Everyone,Aug 11 2019,4.0,4.1 and up,"10,000+"
Game,4.3,8119151,62M,Free,Everyone,Aug 09 2019,1.49.1,4.0 and up,"500,000,000+"
Tools,4.67,6,13M,Free,Everyone,Apr 23 2020,1.18.0,4.1 and up,500+
Health And Fitness,4.54,19310,4.2M,Free,Everyone,Mar 02 2020,16.3,4.0 and up,"1,000,000+"
News And Magazines,4.22,18,11M,Free,Everyone,Feb 27 2020,2,4.1 and up,500+
Game Card,4.47,3200,97M,Free,Teen,Apr 22 2020,4.1.10,4.1 and up,"100,000+"
Beauty,4.21,174,3.8M,Free,Everyone,Dec 25 2018,1.02,4.0.3 and up,"10,000+"
Education,4.3,518,30M,Free,Everyone,Apr 02 2020,14,4.2 and up,"500,000+"
Entertainment,4.11,531,4.2M,Free,Everyone,May 01 2020,1.4,4.4 and up,"100,000+"
Video Players,4.5,83,4.5M,Free,Everyone,Jun 20 2019,4.6,4.1 and up,"5,000+"
Photography,4.37,27,9.8M,Free,Everyone,Mar 29 2019,1.68,4.2 and up,"1,000+"
Entertainment,4.19,19793,18M,Free,Everyone,May 03 2020,3.0.23,4.0 and up,"1,000,000+"
Education,4.08,488,48M,148.4142,Everyone,May 19 2016,3.0.9,2.3 and up,"10,000+"
Education,4.49,88,4.6M,Free,Everyone,Apr 18 2020,1.2.7,4.0.3 and up,"10,000+"
Game Adventure,4.46,1080,Varies with device,Free,Everyone,Mar 03 2020,1.6.01,4.1 and up,"100,000+"
Game Action,4.31,496,16M,Free,Everyone,Apr 08 2020,1.0.8,4.0 and up,"100,000+"
Maps And Navigation,4.55,422,5.1M,Free,Everyone,Apr 24 2020,2.3.1,4.4 and up,"10,000+"
Tools,3.7,2992,585k,Free,Everyone,Mar 31 2017,2.1.11,4.1 and up,"500,000+"
Family,4.2,36214,Varies with device,Free,Everyone,Aug 16 2019,Varies with device,Varies with device,"5,000,000+"
Lifestyle,4.13,15,Varies with device,148.4142,Everyone,Apr 05 2020,1.2.5,4.1 and up,100+
Social,4.16,7367,10M,Free,Everyone,Dec 27 2019,1.8,4.0 and up,"500,000+"
Finance,3.6,300,3.3M,Free,Everyone,Mar 27 2017,4.9.0,2.3.3 and up,"10,000+"
Education,4.5,13791,Varies with device,Free,Everyone,Jul 11 2019,Varies with device,Varies with device,"500,000+"
Game Action,4.15,11809,27M,Free,Teen,Apr 18 2018,1.7.0,2.3.3 and up,"500,000+"
Game Racing,4.39,1140,Varies with device,Free,Everyone,Mar 31 2020,1.0.3,4.1 and up,"100,000+"
Entertainment,3.07,337,2.1M,Free,Teen,Sep 21 2018,1.5,4.1 and up,"100,000+"
Video Players,4.17,1279,11M,Free,Everyone,Apr 11 2018,3.3.6,2.3 and up,"100,000+"
Education,4.14,57,32M,Free,Everyone,Mar 13 2020,1.0.1,2.3 and up,"100,000+"
Business,3.4,22,4.1M,Free,Everyone,Jun 27 2018,1.9,4.0.3 and up,"1,000+"
Lifestyle,4.45,466,26M,Free,Everyone,Jan 29 2020,2,4.1 and up,"100,000+"
Travel And Local,4.5,481545,29M,Free,Everyone,Sep 10 2019,5.48,4.4 and up,"10,000,000+"
Books And Reference,4.72,75,6.5M,Free,Everyone,Jan 16 2020,11.0.0,4.1 and up,"10,000+"
Tools,4.0,8,1.5M,Free,Everyone,Jun 27 2017,1.3,1.6 and up,100+
Personalization,5.0,1,4.2M,Free,Everyone,Dec 24 2019,1,4.0 and up,100+
Education,4.47,6118,95M,Free,Everyone,Jan 03 2019,1,4.0.3 and up,"1,000,000+"
Business,5.0,1,Varies with device,Free,Everyone,Apr 28 2020,1.21,4.1 and up,100+
